Country,Happiness Score (2015),Happiness Score (2019)
Switzerland,7.587,7.48
Iceland,7.561,7.494
Denmark,7.527,7.6
Norway,7.522,7.554
Canada,7.427,7.278
Finland,7.406,7.769
Netherlands,7.378,7.488
Sweden,7.364,7.343
New Zealand,7.286,7.307
Australia,7.284,7.228
Israel,7.278,7.139
Costa Rica,7.226,7.167
Austria,7.2,7.246
Mexico,7.187,6.595
United States,7.119,6.892
Brazil,6.983,6.3
Luxembourg,6.946,7.09
Ireland,6.94,7.021
Belgium,6.937,6.923
United Arab Emirates,6.901,6.825
United Kingdom,6.867,7.054
Oman,6.853,#N/A
Venezuela,6.81,4.707
Singapore,6.798,6.262
Panama,6.786,6.321
Germany,6.75,6.985
Chile,6.67,6.444
Qatar,6.611,6.374
France,6.575,6.592
Argentina,6.574,6.086
Czech Republic,6.505,6.852
Uruguay,6.485,6.293
Colombia,6.477,6.125
Thailand,6.455,6.008
Saudi Arabia,6.411,6.375
Spain,6.329,6.354
Malta,6.302,6.726
Taiwan,6.298,6.446
Kuwait,6.295,6.021
Suriname,6.269,#N/A
Trinidad and Tobago,6.168,#N/A
El Salvador,6.13,6.253
Guatemala,6.123,6.436
Uzbekistan,6.003,6.174
Slovakia,5.995,6.198
Japan,5.987,5.886
South Korea,5.984,5.895
Ecuador,5.975,6.028
Bahrain,5.96,6.199
Italy,5.948,6.223
Bolivia,5.89,5.779
Moldova,5.889,5.529
Paraguay,5.878,5.743
Kazakhstan,5.855,5.809
Slovenia,5.848,6.118
Lithuania,5.833,6.149
Nicaragua,5.828,6.105
Peru,5.824,5.697
Belarus,5.813,5.323
Poland,5.791,6.182
Malaysia,5.77,5.339
Croatia,5.759,5.432
Libya,5.754,5.525
Russia,5.716,5.648
Jamaica,5.709,5.89
North Cyprus,5.695,#N/A
Cyprus,5.689,6.046
Algeria,5.605,5.211
Kosovo,5.589,6.1
Turkmenistan,5.548,5.247
Mauritius,5.477,5.888
Hong Kong,5.474,5.43
Estonia,5.429,5.893
Indonesia,5.399,5.192
Vietnam,5.36,5.175
Turkey,5.332,5.373
Kyrgyzstan,5.286,5.261
Nigeria,5.268,5.265
Bhutan,5.253,5.082
Azerbaijan,5.212,5.208
Pakistan,5.194,5.653
Jordan,5.192,4.906
Montenegro,5.192,5.523
China,5.14,5.191
Zambia,5.129,4.107
Romania,5.124,6.07
Serbia,5.123,5.603
Portugal,5.102,5.693
Latvia,5.098,5.94
Philippines,5.073,5.631
Somaliland region,5.057,#N/A
Morocco,5.013,5.208
Macedonia,5.007,#N/A
Mozambique,4.971,4.466
Albania,4.959,4.719
Bosnia and Herzegovina,4.949,5.386
Lesotho,4.898,3.802
Dominican Republic,4.885,5.425
Laos,4.876,4.796
Mongolia,4.874,5.285
Swaziland,4.867,4.212
Greece,4.857,5.287
Lebanon,4.839,5.197
Hungary,4.8,5.758
Honduras,4.788,5.86
Tajikistan,4.786,5.467
Tunisia,4.739,4.461
Palestinian Territories,4.715,4.696
Bangladesh,4.694,4.456
Iran,4.686,4.548
Ukraine,4.681,4.332
Iraq,4.677,4.437
South Africa,4.642,4.722
Ghana,4.633,4.996
Zimbabwe,4.61,3.663
Liberia,4.571,3.975
India,4.565,4.015
Sudan,4.55,#N/A
Haiti,4.518,3.597
Congo (Kinshasa),4.517,4.418
Nepal,4.514,4.913
Ethiopia,4.512,4.286
Sierra Leone,4.507,4.374
Mauritania,4.436,4.49
Kenya,4.419,4.509
Djibouti,4.369,#N/A
Armenia,4.35,4.559
Botswana,4.332,3.488
Myanmar,4.307,4.36
Georgia,4.297,4.519
Malawi,4.292,3.41
Sri Lanka,4.271,4.366
Cameroon,4.252,5.044
Bulgaria,4.218,5.011
Egypt,4.194,4.166
Yemen,4.077,3.38
Angola,4.033,#N/A
Mali,3.995,4.39
Congo (Brazzaville),3.989,4.812
Comoros,3.956,3.973
Uganda,3.931,4.189
Senegal,3.904,4.681
Gabon,3.896,4.799
Niger,3.845,4.628
Cambodia,3.819,4.7
Tanzania,3.781,3.231
Madagascar,3.681,3.933
Central African Republic,3.678,3.083
Chad,3.667,4.35
Guinea,3.656,4.534
Ivory Coast,3.655,4.944
Burkina Faso,3.587,4.587
Afghanistan,3.575,3.203
Rwanda,3.465,3.334
Benin,3.34,4.883
Syria,3.006,3.462
Burundi,2.905,3.775
Togo,2.839,4.085
