Country,Year,Happiness Score
Australia,2015,7.284
Australia,2019,7.228
Australia,2016,7.313
Australia,2017,7.284
Australia,2018,7.272
Malaysia,2015,5.77
Malaysia,2019,5.339
Malaysia,2016,6.005
Malaysia,2017,6.084
Malaysia,2018,6.322
United States,2015,7.119
United States,2019,6.892
United States,2016,7.104
United States,2017,6.993
United States,2018,6.886
Finland,2015,7.406
Finland,2019,7.769
Finland,2016,7.413
Finland,2017,7.469
Finland,2018,7.632
Indonesia,2015,5.399
Indonesia,2019,5.192
Indonesia,2016,5.314
Indonesia,2017,5.262
Indonesia,2018,5.093
