Country,Happiness Rank,Happiness Score,Year 
Switzerland,1,7.587,2015
Iceland,2,7.561,2015
Denmark,3,7.527,2015
Norway,4,7.522,2015
Canada,5,7.427,2015
Denmark,1,7.526,2016
Switzerland,2,7.509,2016
Iceland,3,7.501,2016
Norway,4,7.498,2016
Finland,5,7.413,2016
Norway,1,7.537,2017
Denmark,2,7.522,2017
Iceland,3,7.504,2017
Switzerland,4,7.494,2017
Finland,5,7.469,2017
Finland,1,7.632,2018
Norway,2,7.594,2018
Denmark,3,7.555,2018
Iceland,4,7.495,2018
Switzerland,5,7.487,2018
Finland,1,7.769,2019
Denmark,2,7.6,2019
Norway,3,7.554,2019
Iceland,4,7.494,2019
Netherlands,5,7.488,2019
